id	name	username	genre
1ivryZNhNH9aR5AIreeuT2	dance playlist2017	piclub	dance
37i9dQZF1DWYEA2z2jQnzS	mint: Best of 2017	spotify	dance
42CFA1F8ueGRJ0lqNfNwaQ	Indian 2017 songs	f4fsua9akd1zri1ukrhcawvjf	indian
3TbygdukIQBff0OgaSKQvh	ROMANCE 2017	skyplayer38	romance
37i9dQZF1DXcN1fAVSf7CR	Top Classical of 2017	spotify	classical
2hXf2dumKw36as8U9h7lHo	Acoustic Pop Covers 2016 - 2018	1196507886	acoustic
1ZQ68B1HiaK1MVNdyAlc83	Acoustic Hits 2017 / 2018	mrcoyeii	acoustic
4U9F19FaajvU93ZNQswgDv	Techno 2017	pinguinette11	techno
6txd2VY1EFdQa0wlhdUOy2	Metal 2017-2018	t3ri0k	metal
37i9dQZF1DXcOFePJj4Rgb	Pop 2017	spotify	pop
3cqW3anXmlCrmKAksZ4xfE	Pop Playlist 2017 - 2018	1126992078	pop
02bE2dnA62pgAodpvrhvCP	Jazz Dance Class 2017	eecusack	jazz
37i9dQZF1DX1Jg9KZ76Rr9	Rock This: Best of 2017	spotify	rock
37i9dQZF1DX1lVhptIYRda	 Hot Country	spotify	country
0rBB7zYgvUe4OYKGhufHW5	Clean Hip Hop Rap and R&B	bbswag03op	rap
5YjM08TSB5ZHhcYfPV8DfM	Rap Workout Playlist	alexm1229	rap